Month,Auto Collision,Weather & Storm Damage,Water Damage (Non-Weather),Liability Claims,Wildlife & Unusual Incidents
2023-01,24,6,17,7,4
2023-02,24,10,15,8,2
2023-03,19,25,5,7,3
2023-04,22,22,7,9,2
2023-05,25,28,6,7,4
2023-06,20,7,6,9,3
2023-07,25,9,7,10,3
2023-08,23,10,7,9,3
2023-09,24,19,6,7,3
2023-10,19,20,6,9,8
2023-11,21,22,6,10,9
2023-12,23,7,21,7,3
2024-01,27,9,20,9,4
2024-02,25,7,15,7,3
2024-03,19,31,8,7,3
2024-04,21,30,7,7,3
2024-05,23,22,7,10,3
2024-06,19,10,7,6,2
2024-07,18,9,8,8,3
2024-08,21,10,7,10,4
2024-09,17,28,8,8,3
2024-10,24,20,7,8,11
2024-11,26,22,7,7,11
2024-12,26,8,20,8,3
2025-01,25,9,22,8,2
2025-02,20,6,23,10,4
2025-03,20,20,8,10,3
2025-04,22,20,8,9,3
2025-05,22,26,6,9,3
2025-06,19,9,8,7,3
